year,month,last,party
2016,Nov,Obama,Democrat
2016,Dec,Obama,Democrat
2017,Jan,Trump,Republican
2017,Feb,Trump,Republican
2017,Mar,Trump,Republican
2017,Apr,Trump,Republican
2017,May,Trump,Republican
2017,Jun,Trump,Republican
2017,Jul,Trump,Republican
2017,Aug,Trump,Republican
2017,Sep,Trump,Republican
2017,Oct,Trump,Republican
2017,Nov,Trump,Republican
2017,Dec,Trump,Republican
2018,Jan,Trump,Republican
2018,Feb,Trump,Republican
2018,Mar,Trump,Republican
2018,Apr,Trump,Republican
2018,May,Trump,Republican
2018,Jun,Trump,Republican
2018,Jul,Trump,Republican
2018,Aug,Trump,Republican
2018,Sep,Trump,Republican
2018,Oct,Trump,Republican
2018,Nov,Trump,Republican
2018,Dec,Trump,Republican
2019,Jan,Trump,Republican
2019,Feb,Trump,Republican
2019,Mar,Trump,Republican
2019,Apr,Trump,Republican
2019,May,Trump,Republican
2019,Jun,Trump,Republican
2019,Jul,Trump,Republican
2019,Aug,Trump,Republican
2019,Sep,Trump,Republican
2019,Oct,Trump,Republican
2019,Nov,Trump,Republican
2019,Dec,Trump,Republican
